protein,SIMmin_7CUT0,SIMmax_7CUT0,SIMavg_7CUT0,SIMavgT5_7CUT0,SIMmin_7CUT1,SIMmax_7CUT1,SIMavg_7CUT1,SIMavgT5_7CUT1,SIMmin_7CUT2,SIMmax_7CUT2,SIMavg_7CUT2,SIMavgT5_7CUT2,SIMmin_7CUT3,SIMmax_7CUT3,SIMavg_7CUT3,SIMavgT5_7CUT3,SIMmin_7CUT4,SIMmax_7CUT4,SIMavg_7CUT4,SIMavgT5_7CUT4,SIMmin_7CUT5,SIMmax_7CUT5,SIMavg_7CUT5,SIMavgT5_7CUT5,SIMmin_7CUT6,SIMmax_7CUT6,SIMavg_7CUT6,SIMavgT5_7CUT6,SIMmin_7CUT7,SIMmax_7CUT7,SIMavg_7CUT7,SIMavgT5_7CUT7
5HT2C_CANLF,13.68,85.44,34.881486068111464,84.9,2.17,95.56,14.692757475083127,86.014,9.09,73.21,50.129052795031036,73.21,14.81,87.67,55.51358255451699,87.67,13.78,98.55,45.598808049535634,97.97,11.97,72.57,25.376919504643848,68.148,9.16,98.33,37.69099071207446,97.99799999999999,2.08,95.83,14.735128676470602,95.83
5HT2C_HUMAN,13.92,85.44,34.84459752321982,83.434,2.22,95.56,15.304368770764167,86.44800000000001,9.09,73.21,50.129052795031036,73.21,14.81,87.67,55.51358255451699,87.67,14.22,98.55,45.62642414860692,98.26,11.11,48.62,25.018947368420978,48.62,9.16,98.33,37.89455108359148,97.66399999999999,2.08,95.83,14.774522058823514,95.41399999999999
5HT2C_RAT,13.56,82.74,34.94814241486075,81.274,2.7,50.0,18.32109452736322,49.565999999999995,10.3,69.7,45.895665634674806,69.7,14.81,87.67,55.51358255451699,87.67,14.67,97.1,46.05348297213623,96.81000000000002,9.92,72.57,24.09215170278639,67.436,9.16,96.67,37.67068111455132,96.33600000000001,2.08,95.83,14.956856617647084,95.41399999999999
5HT4R_CAVPO,11.78,90.45,37.68340557275532,89.38,0.41,90.91,11.92074912891983,90.91,9.38,98.18,50.97886996904046,97.816,14.75,97.26,53.26948757763982,92.876,16.59,70.0,43.0017956656347,69.77799999999999,11.48,94.67,30.598421052631576,93.87,8.02,97.92,47.39725155279486,91.278,2.16,93.48,15.242815356489965,87.59600000000002
5HT4R_HUMAN,11.82,90.89,37.32888544891635,90.80199999999999,0.51,90.91,11.97517301038059,90.91,8.61,96.36,49.748839009288034,95.998,14.75,97.26,53.26948757763982,92.876,16.37,97.5,41.85931888544889,91.77799999999999,11.85,96.0,30.811764705882293,95.73400000000001,8.02,97.92,47.39725155279486,91.278,1.8,93.48,14.965667276051201,86.97200000000001
5HT4R_RAT,11.9,90.89,36.11829721362218,89.732,0.41,90.91,13.082233676975937,90.91,9.02,98.18,51.139938080495384,97.45400000000001,13.82,97.26,51.3225077399383,97.26,16.81,97.5,42.47308049535593,92.0,11.11,96.0,30.486517027863766,94.934,7.63,97.92,47.38574303405554,97.92,1.56,64.06,12.457550274222987,63.436
5HT5A_HUMAN,11.49,53.2,36.07880804953562,53.13399999999999,1.08,66.67,20.652177554438836,60.000000000000014,9.21,60.0,43.392105263157674,59.82000000000001,13.86,71.23,50.00153250773999,71.23,14.22,77.14,47.93167182662544,76.642,14.68,42.37,27.187956656346703,42.37,6.87,70.0,41.97939628482974,70.0,,,,
5HT6R_HUMAN,12.36,84.19,33.80295665634672,76.61,1.06,80.0,15.858050420168063,72.0,9.21,80.7,47.1023684210526,78.488,13.15,90.54,54.337445820433636,87.50000000000001,16.89,97.18,43.857027863777006,90.244,14.96,87.64,28.150665634674898,79.65799999999999,9.47,70.13,29.082832817337437,64.5,1.64,78.69,13.360828828828806,69.838
5HT6R_MOUSE,12.92,84.19,33.89764705882356,76.63,0.41,80.0,16.66261306532662,73.524,7.11,80.7,45.092770897832594,78.008,13.62,90.54,55.62755417956687,87.22600000000001,16.89,97.18,44.04798761609906,90.244,13.39,87.64,27.632058823529498,78.99999999999999,9.47,70.13,30.139721362229082,64.638,1.64,78.69,13.875605786618472,69.838
5HT7R_CAVPO,12.4,63.85,34.62888544891644,60.422000000000004,2.27,36.36,14.437169179229539,34.239999999999995,8.59,51.76,35.96034055727557,50.349999999999994,15.35,98.63,53.92312693498475,94.246,14.73,98.48,47.80942724458209,93.27600000000001,14.29,97.0,27.042863777089742,87.2,7.2,66.67,42.26724458204295,66.54400000000001,0.72,36.67,12.437150735294175,33.714
5HT7R_HUMAN,12.45,63.85,32.94284829721374,59.982000000000006,1.89,30.51,11.784833887043165,29.184000000000005,6.92,50.67,36.88705882352929,50.536,15.35,98.63,54.42894736842115,94.52,14.73,98.48,47.42820433436539,92.98600000000002,14.29,97.0,27.022863777089732,87.2,7.25,69.09,41.60914860681093,67.998,1.72,32.76,11.124665427509314,32.414
A5A4K8_RABIT,10.91,71.56,34.68306501547988,62.50599999999999,0.96,92.86,13.504463373083539,59.286,8.33,98.21,47.037430340557144,82.50999999999999,15.74,98.61,54.812213622290855,90.276,14.11,56.67,31.083947368421068,52.93800000000001,9.09,74.63,32.21421052631569,59.852,6.79,56.67,37.18003095975259,54.19200000000001,0.54,52.94,17.2628676470589,51.763999999999996
AA1R_BOVIN,11.19,95.12,36.73003095975234,94.572,,,,,7.95,89.29,48.95021739130451,89.29,14.88,97.14,50.85439628482984,96.854,17.9,95.12,40.931068111455204,94.632,12.66,90.62,35.91416408668721,90.62,6.87,98.08,39.231640866873455,97.69399999999999,0.34,75.0,5.994763948497862,75.0
AA1R_CAVPO,11.1,96.33,36.365108359133075,96.092,,,,,7.95,96.36,47.64897832817347,96.36,15.74,98.57,52.09727554179574,98.57,18.78,97.56,41.45256965944274,97.56,12.13,87.69,33.530108695652075,87.424,6.87,98.08,38.707755417957074,97.69399999999999,0.52,75.0,6.09932000000002,75.0
AA1R_HUMAN,11.35,96.33,36.59246130030961,96.088,,,,,7.95,89.29,48.95021739130451,89.29,15.48,98.57,52.080216718266286,98.28399999999999,17.9,97.56,41.44998452012383,97.56,12.13,87.69,33.530108695652075,87.424,6.87,98.08,39.04575851393234,98.08,0.34,75.0,5.994763948497862,75.0
AA1R_MOUSE,11.36,95.14,36.59498452012386,94.77799999999999,,,,,8.37,96.36,47.9758695652175,94.946,15.74,98.57,51.77740683229807,98.28399999999999,17.9,97.56,41.45848297213621,97.56,12.5,90.62,33.91458074534155,89.768,7.63,96.15,39.24206521739173,96.15,0.52,75.0,6.09932000000002,75.0
AA1R_RAT,10.96,88.41,36.166981424148524,87.62399999999998,,,,,8.37,96.36,47.9758695652175,94.946,15.74,98.57,51.77740683229807,98.28399999999999,17.24,60.4,39.544164086687324,60.4,12.5,90.62,33.91458074534155,89.768,7.63,96.15,39.24206521739173,96.15,0.52,75.0,6.09932000000002,75.0
AA2AR_CAVPO,11.88,85.75,33.22572755417954,82.32000000000001,,,,,7.53,97.96,47.97128482972131,96.82999999999998,14.35,97.14,50.76818885448946,96.854,18.22,90.24,42.60131578947369,89.266,11.81,90.91,33.81453560371522,90.91,9.06,72.29,27.825216718266496,66.22800000000001,1.64,73.77,11.336190476190477,65.14599999999999
AA2AR_HUMAN,12.05,85.75,33.63609907120747,82.428,,,,,7.95,94.23,49.10486068111436,93.84600000000002,14.35,98.57,51.23749226006203,98.28399999999999,19.11,90.24,41.84804953560371,88.28999999999999,11.44,92.42,36.27024767801855,92.11800000000001,10.98,72.29,27.364473684210736,66.22800000000001,1.64,73.77,11.262344322344306,64.91799999999999
AA2AR_RAT,12.35,69.14,33.75552631578947,69.032,,,,,7.11,97.96,47.76840557275534,97.21399999999998,14.35,98.57,51.20500000000015,97.99799999999999,19.56,85.37,44.61126934984509,84.394,11.81,92.42,36.10405572755425,92.11800000000001,9.63,40.0,26.764628482972217,40.0,1.67,33.33,11.065816513761472,32.0
AA2BR_HUMAN,11.11,82.23,37.4916563467491,82.06000000000002,,,,,7.95,88.68,48.86065015479872,88.68,13.89,95.71,52.79791021671843,95.42599999999999,15.61,64.65,39.04340557275552,64.546,11.76,92.06,35.81380804953544,92.06,6.49,89.36,44.14775541795671,88.934,0.38,58.82,14.771139705882414,56.467999999999996
AA2BR_MOUSE,10.71,97.59,37.14989164086688,94.518,,,,,7.95,88.68,47.78411490683226,86.41600000000001,13.69,98.57,51.434334365325306,97.99799999999999,18.34,95.35,38.93851393188862,90.43800000000002,11.4,92.06,35.47819875776391,87.362,6.87,97.87,44.57439628482981,96.168,0.38,84.62,14.164716981132132,79.46000000000001
AA2BR_RAT,10.87,97.59,36.97051083591328,94.348,,,,,7.95,88.68,47.78411490683226,86.41600000000001,13.69,98.57,50.561671826625464,97.714,18.34,95.35,38.76568111455112,90.88600000000001,11.4,92.06,35.47819875776391,87.362,6.87,97.87,44.26198142414872,95.742,0.38,84.62,14.851924528301945,77.108
AA3R_HUMAN,10.62,74.64,35.75089783281728,74.27799999999999,,,,,8.57,84.75,42.677987616098946,84.466,15.02,94.29,51.132600619195145,93.71800000000002,15.28,75.9,43.203622291021546,74.768,10.66,79.03,33.93089783281722,78.708,6.02,57.41,38.50117647058862,57.2,,,,
AA3R_MOUSE,10.82,91.95,36.84619195046439,88.126,,,,,8.37,90.0,44.241640866873084,88.95,15.49,95.71,49.972972136223134,94.85399999999998,16.16,89.61,43.94431888544886,85.736,11.48,98.33,36.683421052631566,94.148,6.11,79.49,37.74049535603728,75.686,0.52,58.82,16.214357541899506,56.467999999999996
AA3R_RAT,10.65,91.95,37.070030959752245,88.488,,,,,8.37,90.0,45.03809597523209,88.666,15.02,95.71,50.76917956656354,95.42599999999999,16.16,89.61,44.09181114551089,86.86800000000001,11.48,98.33,36.837043343653306,94.47,4.94,79.49,36.76772445820444,75.17,0.52,58.82,16.214357541899506,56.467999999999996
ACKR3_HUMAN,11.93,50.63,36.31351393188857,50.53,2.39,50.0,17.410782029950074,43.574,8.3,57.35,39.8811609907121,56.852,14.36,71.62,47.94775541795674,71.62,17.03,58.97,44.63329721362239,58.202,7.5,65.57,34.017631578947245,63.470000000000006,6.87,60.42,40.50109907120752,60.42,0.72,58.82,15.16176470588239,58.82000000000001
ACM1_HUMAN,10.68,99.57,31.291826625386957,89.72599999999998,1.96,66.67,19.465510887772197,61.42800000000001,7.49,73.68,43.487344720496665,72.98,15.49,97.22,55.69745341614904,97.22,14.1,80.0,43.164472049689486,80.0,7.96,98.92,16.500743034055755,85.802,7.63,70.83,42.16141304347831,70.83,0.52,41.67,10.26095327102807,36.153999999999996
ACM1_RAT,10.68,99.57,31.28890092879255,89.72599999999998,1.96,66.67,19.465510887772197,61.42800000000001,7.49,73.68,43.487344720496665,72.98,15.49,97.22,55.69745341614904,97.22,14.1,80.0,43.164472049689486,80.0,7.96,98.92,16.4958823529412,85.696,7.63,70.83,42.16141304347831,70.83,0.52,41.67,10.26095327102807,36.153999999999996
ACM2_HUMAN,11.34,95.09,31.13023219814245,94.64000000000001,1.02,91.67,14.283087719298226,85.00200000000001,8.79,77.59,49.21191290824272,77.16000000000001,15.84,95.83,54.82923794712295,95.83,16.37,91.67,47.2972826086956,91.67,8.0,96.17,15.69297213622288,95.78800000000001,7.63,93.18,43.08610852713193,88.89200000000001,,,,
ACM2_RAT,11.49,95.09,30.942027863777135,94.06000000000002,1.06,91.67,13.359336823734722,91.67,8.79,77.59,49.21191290824272,77.16000000000001,15.84,95.83,54.82923794712295,95.83,16.37,91.67,47.2972826086956,91.67,8.0,96.17,15.652291021671802,95.884,6.44,93.18,41.403281733746006,88.89200000000001,,,,
ACM3_HUMAN,11.37,83.31,27.09518575851389,77.19800000000001,1.52,57.14,21.445806988352768,56.238,11.69,48.42,33.84049535603748,48.21,15.49,98.61,54.926517027863966,97.266,15.93,86.11,45.59939440993795,86.11,5.07,94.03,12.041331269349836,82.46199999999999,8.02,98.04,41.412662538699294,92.55000000000001,0.77,47.06,10.879561068702337,47.06
ACM3_RAT,11.59,83.31,27.230061919504507,76.864,1.52,57.14,21.445806988352768,56.238,12.3,48.48,35.14938080495366,47.873999999999995,15.02,98.61,54.4338080495356,96.99600000000001,15.93,86.11,45.59939440993795,86.11,5.07,94.03,12.05215170278637,82.38799999999999,8.02,98.04,41.56066563467451,92.15800000000002,0.34,41.18,10.947930367504869,41.18
ACM4_HUMAN,11.52,92.31,30.939380804953515,87.098,2.05,85.71,21.77547579298832,79.044,8.37,80.7,46.269365325077395,80.35,15.49,95.83,55.37925465838492,95.83,16.81,91.67,47.5250155279504,91.67,6.99,95.77,15.435185758513908,85.34799999999998,6.87,93.18,43.02029411764714,93.18,,,,
ACM4_RAT,11.47,92.31,30.63111455108357,86.902,1.96,85.71,22.03416387959872,79.044,7.53,80.7,45.28301857585124,79.29599999999999,15.49,95.83,55.37925465838492,95.83,16.81,91.67,47.5250155279504,91.67,6.99,95.77,15.376145510835894,85.25399999999999,6.82,93.18,41.01578947368397,88.89200000000001,,,,
ACM5_HUMAN,10.89,87.87,28.700526315789418,80.846,0.82,57.14,18.0723154362416,54.434000000000005,8.79,84.48,47.81219814241495,83.37400000000001,15.96,97.22,56.0978571428571,97.22,15.88,86.59,42.781315789473524,85.98000000000002,5.43,86.8,12.778947368421042,76.30600000000001,8.02,70.59,43.73214285714267,70.35,0.36,33.33,7.3823953488372265,32.818
ACM5_RAT,10.53,87.87,28.39419504643963,80.612,1.02,47.62,16.29802364864862,44.763999999999996,7.95,84.48,48.35608359133135,82.67200000000001,15.96,97.22,56.0978571428571,97.22,14.53,86.59,40.5243808049535,84.20800000000001,5.43,86.8,12.766749226006203,76.678,8.02,70.59,43.73214285714267,70.35,0.36,33.33,7.3823953488372265,32.818
ADA1A_BOVIN,13.07,97.21,33.76999999999997,96.82399999999998,0.96,93.75,16.057939698492415,92.5,9.68,98.21,52.107739938080506,98.21,14.81,98.61,54.231059190031026,96.66600000000001,16.07,98.51,47.92414860681127,98.51,14.81,97.94,27.124210526315775,97.734,8.99,97.0,24.77695046439629,96.6,1.72,93.1,13.052395644283123,92.066
ADA1A_HUMAN,13.04,95.95,33.89421052631583,95.78,0.96,93.75,16.96716666666666,93.75,9.31,98.21,51.81242990654213,93.30399999999999,14.81,98.61,54.231059190031026,96.66600000000001,16.52,98.51,48.67195046439618,98.51,14.81,98.97,27.058730650154764,98.76400000000001,8.95,91.26,24.248034055727622,91.26,1.72,91.38,14.007689530685925,90.69
ADA1A_RABIT,13.07,97.21,33.77681114551084,97.124,0.96,93.75,16.057939698492415,92.5,9.31,98.21,51.81242990654213,93.30399999999999,15.28,98.61,55.07839009287912,98.61,16.07,98.51,47.03695046439626,98.51,14.81,98.97,27.10229102167176,98.55800000000002,8.99,98.0,24.717430340557282,97.8,1.72,93.1,13.700415162454899,92.756
ADA1A_RAT,13.07,96.78,33.72600619195049,96.47999999999999,0.51,87.5,15.639699999999975,87.5,9.31,98.21,51.81242990654213,93.30399999999999,14.81,98.61,54.231059190031026,96.66600000000001,16.52,98.51,47.784845201238525,98.51,14.81,96.91,27.033622291021622,96.91,8.99,98.0,24.686718266253873,97.4,1.72,91.38,13.433953068592055,90.34599999999999
ADA1B_HUMAN,13.19,86.23,31.360634674922615,79.742,1.98,94.59,17.58093023255819,83.78,7.95,75.93,50.33512422360246,75.65400000000001,15.74,98.61,55.84603715170291,97.22200000000001,15.62,86.57,46.88625776397514,86.27,16.22,59.22,27.326677018633553,59.220000000000006,9.54,50.48,23.651253869969146,49.587999999999994,1.14,80.68,7.8920909090909,69.772
ADA1B_RAT,12.31,86.23,31.492260061919573,79.792,1.59,94.59,16.222508305647942,84.32000000000001,7.95,75.93,50.33512422360246,75.65400000000001,15.28,98.61,55.2377244582043,97.50000000000001,15.62,86.57,46.88625776397514,86.27,16.22,59.22,27.326677018633553,59.220000000000006,10.11,50.48,23.90325077399387,49.443999999999996,1.18,80.68,8.5743297101449,69.486
ADA1D_HUMAN,15.06,66.83,29.413095975232274,63.68399999999999,2.13,54.1,12.374326599326661,49.818,10.61,57.14,33.63024767801852,53.73199999999999,15.35,97.22,54.55145510835915,96.388,15.98,77.78,47.691366459627396,77.502,15.44,93.2,26.74578947368415,86.404,10.26,50.43,20.96772445820452,49.404,1.41,39.44,11.292349726775909,38.029999999999994
ADA1D_RAT,14.68,66.83,29.43636222910206,63.721999999999994,1.59,54.1,9.736705882352846,48.994,8.85,56.0,38.37712074303421,56.0,15.35,97.22,54.3153715170278,95.83200000000002,15.98,77.78,47.691366459627396,77.502,14.71,93.2,26.865557275541754,86.404,10.58,50.43,22.016996904024673,49.902,1.43,39.44,11.48663636363637,37.266
ADA2A_HUMAN,11.12,58.75,31.28619195046443,58.02,0.96,45.83,18.858930921052647,45.754,10.74,68.0,42.65448916408663,66.454,14.85,95.83,54.365820433436575,95.27599999999998,16.07,72.6,43.12270897832812,70.974,9.23,38.34,16.614969040247733,38.332,6.49,85.71,44.89226006191946,84.84799999999998,,,,
ADA2B_HUMAN,10.79,55.1,30.757275541795668,54.402,0.51,50.0,6.936273584905678,42.5,8.37,75.93,53.45043343653231,75.93,14.36,93.06,53.83893188854501,92.226,17.04,72.6,45.9061764705883,72.05199999999999,6.85,34.93,15.20060371517028,34.834,5.34,85.71,45.28851393188848,83.91599999999998,,,,
ADA2C_HUMAN,10.82,58.75,31.241625386996944,57.322,1.96,54.17,18.94560655737701,50.468,10.48,68.0,41.06927244582054,66.728,15.35,95.83,54.07153250774023,94.442,14.41,72.06,44.38425696594427,72.06,8.33,38.3,16.697755417956657,38.112,7.63,81.4,44.01433436532507,80.468,,,,
ADRB1_HUMAN,13.77,80.87,34.226702786377714,80.804,2.08,97.92,15.248559602649017,97.50200000000001,10.08,94.64,52.397631578947475,94.64,13.43,98.61,55.73503105590081,97.50000000000001,16.37,98.67,44.56908668730651,98.40200000000002,14.39,51.35,25.23346749226008,50.814,7.25,94.83,38.100077399381014,94.484,1.67,55.74,11.015411985018728,55.739999999999995
ADRB1_RAT,13.75,89.77,35.09334365325083,87.92399999999999,2.08,97.92,15.45571192052981,97.08600000000001,9.83,96.43,52.424953560371684,96.072,13.43,98.61,55.962043343653335,98.61,16.37,98.67,45.416238390092786,98.67,13.28,71.0,27.598699690402366,69.248,7.25,94.83,38.48778637770905,94.81199999999998,1.64,85.25,11.199616788321173,79.348
ADRB2_CANLF,12.82,88.76,36.38900928792571,88.15,0.96,65.22,16.60265339966829,60.872,8.77,94.64,48.90660990712076,94.28399999999999,12.96,98.61,54.07593167701883,97.536,16.44,97.33,44.790185758513815,97.33,13.01,96.34,30.38947368421047,96.096,7.83,96.23,39.96795665634707,95.852,1.85,57.89,12.959658444022814,57.89
ADRB2_CAVPO,13.24,89.05,36.35609907120731,88.992,1.75,65.22,15.885838815789494,60.638,8.37,98.21,48.96743034055731,97.13999999999999,12.96,98.61,54.37181114551104,98.61,16.0,97.33,44.80246130030956,97.064,13.38,96.34,31.01185758513928,96.34,8.4,92.45,39.60453560371542,92.45,1.75,78.95,13.08152542372878,78.95
ADRB2_HUMAN,13.33,90.67,36.60114551083589,89.58600000000001,0.96,70.59,16.686571906354516,64.934,9.24,96.77,45.08848297213607,93.28999999999999,13.89,98.61,55.99210526315783,97.266,16.44,97.33,44.42134674922602,97.064,12.64,96.34,30.643080495356028,96.34,7.63,88.68,42.86428792569672,88.302,1.72,78.95,13.710457875457848,78.24799999999999
ADRB2_MESAU,13.58,90.67,36.174845201238384,89.96000000000001,0.96,70.59,16.035200668896298,65.88400000000001,9.17,96.77,45.29089783281714,93.606,13.43,98.61,55.38379256965961,97.536,16.89,96.0,44.4813777089784,96.0,13.38,96.34,30.657043343653253,96.096,7.83,98.11,39.98832817337487,97.73400000000001,1.75,85.96,13.242112149532678,84.55799999999999
ADRB2_RAT,13.39,89.05,36.34775541795661,88.66400000000002,1.22,47.83,13.416264462809883,46.089999999999996,8.37,98.21,49.19835913312705,97.496,12.96,98.61,54.07593167701883,97.536,16.89,96.0,44.61136222910206,96.0,13.01,95.12,30.72524767801859,94.876,7.23,98.11,39.93916408668752,97.35600000000001,1.75,85.96,14.206864564007388,84.55799999999999
ADRB3_CANLF,12.15,79.56,37.378126934984586,79.014,1.19,40.0,17.52822742474918,39.858,9.21,94.55,50.66057275541803,94.186,12.04,98.61,53.25034055727558,98.61,15.04,98.68,46.32770897832813,98.418,13.78,82.47,27.692476780185764,81.128,6.84,65.31,41.55732198142403,65.048,1.18,39.29,16.30199633699636,38.766
ADRB3_HUMAN,11.91,87.86,37.4376006191951,86.20000000000002,2.68,96.43,18.80257903494171,92.858,9.21,94.55,53.090696594427385,94.186,12.5,98.61,53.31085139318886,98.33200000000001,15.49,98.68,45.51961300309578,98.418,13.6,88.89,26.864256965944197,87.606,7.25,93.75,42.95784829721354,90.0,1.71,35.29,14.840128676470583,35.29
ADRB3_MACMU,12.05,87.86,37.20472136222911,86.136,2.68,96.43,18.758602329450873,92.858,9.21,94.55,52.491377708978405,94.55,12.5,98.61,53.917105263157815,98.61,15.04,98.68,46.40349845201228,98.68,12.87,88.89,27.20283281733748,87.19399999999999,6.49,93.75,42.82900928792579,89.584,1.71,40.48,13.528036363636351,38.314
ADRB3_RAT,11.72,79.24,37.24591331269346,79.208,1.34,78.57,18.724790619765447,78.57,7.11,85.71,47.66405572755419,84.996,11.57,98.61,53.266114551083504,98.33200000000001,15.04,96.05,45.35859133126929,95.788,12.5,80.41,28.405650154798742,79.68199999999999,6.49,75.0,43.46973684210525,74.584,0.77,40.0,16.70309392265192,40.0
AGTR1_BOVIN,10.86,94.28,39.83922600619189,94.28,1.02,93.75,14.706053962900478,93.75,10.04,75.86,51.53749999999988,75.86,12.87,98.61,54.81256249999983,98.61,15.88,97.37,42.96696594427235,97.37,9.2,74.29,34.79303405572738,74.29,6.87,93.75,44.5324451410658,87.916,1.71,96.3,17.55500897666072,96.3
AGTR1_CAVPO,11.02,99.16,39.845758513931884,99.16,1.02,93.75,14.706053962900478,93.75,10.04,75.86,51.53749999999988,75.86,12.87,98.61,54.81256249999983,98.61,16.31,98.68,43.358816199376776,98.418,9.47,98.39,33.495015527950315,98.39,6.87,93.75,44.5324451410658,87.916,1.82,92.59,18.244270270270327,92.59
AGTR1_HUMAN,11.02,99.16,39.64807453416157,98.99399999999999,1.02,93.75,14.706053962900478,93.75,10.04,75.86,51.53749999999988,75.86,12.87,98.61,54.81256249999983,98.61,16.31,98.68,43.358816199376776,98.418,9.47,98.39,33.61728260869571,98.39,6.87,93.75,44.5324451410658,87.916,1.82,96.3,17.69700900900904,95.558
