trainnum,Name,trainname,Time,ALL_size,TRAIN_size,TEST_size,BEST_model,score_val,mean_squared_error,pearsonr,mean_absolute_error,root_mean_squared_error,score_test,traintimelimit_mins,File_Name
10.0,5HT6R_HUMAN,AgonistAntagonist,20230518_1659,1590.0,1272.0,318.0,WeightedEnsemble_L3,-0.14404,0.1894,0.92241,0.25273,0.4352,-0.1894,10.6,GPCR_to_trainAgonistAntagonist_5HT6R_HUMAN.csv
11.0,5HT7R_HUMAN,AgonistAntagonist,20230518_1710,49.0,39.0,10.0,WeightedEnsemble_L2,-1.05675,0.26774,,0.39777,0.51744,-0.26774,0.31667,GPCR_to_trainAgonistAntagonist_5HT7R_HUMAN.csv
12.0,AA1R_HUMAN,AgonistAntagonist,20230518_1711,827.0,661.0,166.0,WeightedEnsemble_L2,-0.30989,0.34352,0.84385,0.33786,0.58611,-0.34352,5.5,GPCR_to_trainAgonistAntagonist_AA1R_HUMAN.csv
13.0,AA2AR_HUMAN,AgonistAntagonist,20230518_1717,1056.0,844.0,212.0,WeightedEnsemble_L2,-0.18715,0.15301,0.93305,0.22226,0.39117,-0.15301,7.03333,GPCR_to_trainAgonistAntagonist_AA2AR_HUMAN.csv
14.0,AA2BR_HUMAN,AgonistAntagonist,20230518_1724,1139.0,911.0,228.0,WeightedEnsemble_L3,-0.1289,0.06436,0.97475,0.14555,0.25369,-0.06436,7.58333,GPCR_to_trainAgonistAntagonist_AA2BR_HUMAN.csv
15.0,AA3R_HUMAN,AgonistAntagonist,20230518_1732,706.0,564.0,142.0,WeightedEnsemble_L2,-0.27547,0.18198,0.92818,0.28887,0.42659,-0.18198,4.7,GPCR_to_trainAgonistAntagonist_AA3R_HUMAN.csv
16.0,ACKR3_HUMAN,AgonistAntagonist,20230518_1737,43.0,34.0,9.0,WeightedEnsemble_L2,-1.08055,0.9775,,0.91671,0.98869,-0.9775,0.28333,GPCR_to_trainAgonistAntagonist_ACKR3_HUMAN.csv
17.0,ACM1_HUMAN,AgonistAntagonist,20230518_1737,910.0,728.0,182.0,WeightedEnsemble_L2,-0.23236,0.16539,0.91675,0.2639,0.40668,-0.16539,6.06667,GPCR_to_trainAgonistAntagonist_ACM1_HUMAN.csv
18.0,ACM2_HUMAN,AgonistAntagonist,20230518_1744,368.0,294.0,74.0,WeightedEnsemble_L2,-0.37816,0.45831,0.82719,0.46586,0.67699,-0.45831,2.45,GPCR_to_trainAgonistAntagonist_ACM2_HUMAN.csv
19.0,ACM3_HUMAN,AgonistAntagonist,20230518_1746,452.0,361.0,91.0,WeightedEnsemble_L2,-0.29073,0.1521,0.96785,0.24443,0.38999,-0.1521,3.0,GPCR_to_trainAgonistAntagonist_ACM3_HUMAN.csv
20.0,ACM4_HUMAN,AgonistAntagonist,20230518_1749,183.0,146.0,37.0,WeightedEnsemble_L2,-0.47579,0.35856,0.8639,0.41914,0.5988,-0.35856,1.21667,GPCR_to_trainAgonistAntagonist_ACM4_HUMAN.csv
21.0,ACM5_HUMAN,AgonistAntagonist,20230518_1751,109.0,87.0,22.0,WeightedEnsemble_L2,-0.42591,0.16113,0.83724,0.34177,0.4014,-0.16113,0.71667,GPCR_to_trainAgonistAntagonist_ACM5_HUMAN.csv
22.0,ADA1A_HUMAN,AgonistAntagonist,20230518_1752,496.0,396.0,100.0,WeightedEnsemble_L2,-0.37742,0.39009,0.6941,0.43351,0.62457,-0.39009,3.3,GPCR_to_trainAgonistAntagonist_ADA1A_HUMAN.csv
23.0,ADA1B_HUMAN,AgonistAntagonist,20230518_1755,232.0,185.0,47.0,WeightedEnsemble_L2,-0.25382,0.13637,0.90766,0.22974,0.36928,-0.13637,1.53333,GPCR_to_trainAgonistAntagonist_ADA1B_HUMAN.csv
24.0,ADA1D_HUMAN,AgonistAntagonist,20230518_1757,191.0,152.0,39.0,WeightedEnsemble_L2,-0.59826,0.70008,0.77343,0.56448,0.83671,-0.70008,1.26667,GPCR_to_trainAgonistAntagonist_ADA1D_HUMAN.csv
25.0,ADA2A_HUMAN,AgonistAntagonist,20230518_1758,132.0,105.0,27.0,WeightedEnsemble_L2,-0.55727,0.67593,0.72942,0.64641,0.82215,-0.67593,0.86667,GPCR_to_trainAgonistAntagonist_ADA2A_HUMAN.csv
26.0,ADA2B_HUMAN,AgonistAntagonist,20230518_1759,167.0,133.0,34.0,WeightedEnsemble_L2,-0.30659,0.2603,0.84945,0.36804,0.51019,-0.2603,1.1,GPCR_to_trainAgonistAntagonist_ADA2B_HUMAN.csv
27.0,ADA2C_HUMAN,AgonistAntagonist,20230518_1800,266.0,212.0,54.0,WeightedEnsemble_L2,-0.47315,0.34411,0.80024,0.38958,0.58661,-0.34411,1.76667,GPCR_to_trainAgonistAntagonist_ADA2C_HUMAN.csv
28.0,ADRB1_HUMAN,AgonistAntagonist,20230518_1802,794.0,635.0,159.0,WeightedEnsemble_L2,-0.25783,0.21121,0.84242,0.31204,0.45958,-0.21121,5.28333,GPCR_to_trainAgonistAntagonist_ADRB1_HUMAN.csv
29.0,ADRB2_HUMAN,AgonistAntagonist,20230518_1808,1468.0,1174.0,294.0,WeightedEnsemble_L3,-0.21149,0.20485,0.94976,0.28108,0.4526,-0.20485,9.78333,GPCR_to_trainAgonistAntagonist_ADRB2_HUMAN.csv
30.0,ADRB3_HUMAN,AgonistAntagonist,20230518_1818,1506.0,1204.0,302.0,WeightedEnsemble_L3,-0.21388,0.2124,0.90302,0.2989,0.46086,-0.2124,10.03333,GPCR_to_trainAgonistAntagonist_ADRB3_HUMAN.csv
31.0,AGTR1_HUMAN,AgonistAntagonist,20230518_1828,685.0,548.0,137.0,WeightedEnsemble_L2,-0.09215,0.09112,0.97718,0.17546,0.30186,-0.09112,4.56667,GPCR_to_trainAgonistAntagonist_AGTR1_HUMAN.csv
32.0,AGTR2_HUMAN,AgonistAntagonist,20230518_1833,7.0,7.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_AGTR2_HUMAN.csv
33.0,APJ_HUMAN,AgonistAntagonist,20230518_1833,307.0,245.0,62.0,WeightedEnsemble_L2,-0.4066,0.39252,0.93786,0.48406,0.62651,-0.39252,2.03333,GPCR_to_trainAgonistAntagonist_APJ_HUMAN.csv
34.0,BKRB1_HUMAN,AgonistAntagonist,20230518_1835,877.0,701.0,176.0,WeightedEnsemble_L2,-0.28345,0.28259,0.9071,0.34189,0.53159,-0.28259,5.83333,GPCR_to_trainAgonistAntagonist_BKRB1_HUMAN.csv
35.0,BKRB2_HUMAN,AgonistAntagonist,20230518_1841,204.0,163.0,41.0,WeightedEnsemble_L2,-0.27927,0.24887,0.91769,0.32812,0.49887,-0.24887,1.35,GPCR_to_trainAgonistAntagonist_BKRB2_HUMAN.csv
36.0,BRS3_HUMAN,AgonistAntagonist,20230518_1843,517.0,413.0,104.0,WeightedEnsemble_L2,-0.20641,0.12569,0.9415,0.22323,0.35452,-0.12569,3.43333,GPCR_to_trainAgonistAntagonist_BRS3_HUMAN.csv
37.0,C3AR_HUMAN,AgonistAntagonist,20230518_1846,309.0,247.0,62.0,WeightedEnsemble_L2,-0.31445,0.48534,0.78563,0.34289,0.69666,-0.48534,2.05,GPCR_to_trainAgonistAntagonist_C3AR_HUMAN.csv
38.0,C5AR1_HUMAN,AgonistAntagonist,20230518_1849,267.0,213.0,54.0,WeightedEnsemble_L2,-0.28449,0.21318,0.85483,0.39579,0.46172,-0.21318,1.76667,GPCR_to_trainAgonistAntagonist_C5AR1_HUMAN.csv
39.0,CALRL_HUMAN,AgonistAntagonist,20230518_1850,994.0,795.0,199.0,WeightedEnsemble_L2,-0.29961,0.25526,0.89469,0.40604,0.50523,-0.25526,6.61667,GPCR_to_trainAgonistAntagonist_CALRL_HUMAN.csv
40.0,CASR_HUMAN,AgonistAntagonist,20230518_1858,386.0,308.0,78.0,WeightedEnsemble_L2,-0.16634,0.08165,0.96686,0.21485,0.28574,-0.08165,2.56667,GPCR_to_trainAgonistAntagonist_CASR_HUMAN.csv
41.0,CCKAR_HUMAN,AgonistAntagonist,20230518_1900,281.0,224.0,57.0,WeightedEnsemble_L2,-0.56289,0.30781,0.91847,0.44813,0.55481,-0.30781,1.86667,GPCR_to_trainAgonistAntagonist_CCKAR_HUMAN.csv
42.0,CCR1_HUMAN,AgonistAntagonist,20230518_1902,414.0,331.0,83.0,WeightedEnsemble_L2,-0.41344,0.36816,0.79624,0.44111,0.60676,-0.36816,2.75,GPCR_to_trainAgonistAntagonist_CCR1_HUMAN.csv
43.0,CCR2_HUMAN,AgonistAntagonist,20230518_1905,1602.0,1281.0,321.0,WeightedEnsemble_L3,-0.17887,0.23464,0.87602,0.29565,0.48439,-0.23464,10.66667,GPCR_to_trainAgonistAntagonist_CCR2_HUMAN.csv
44.0,CCR3_HUMAN,AgonistAntagonist,20230518_1916,396.0,316.0,80.0,WeightedEnsemble_L2,-0.21294,0.22441,0.92626,0.29595,0.47372,-0.22441,2.63333,GPCR_to_trainAgonistAntagonist_CCR3_HUMAN.csv
45.0,CCR4_HUMAN,AgonistAntagonist,20230518_1919,318.0,254.0,64.0,WeightedEnsemble_L2,-0.49637,0.59248,0.51926,0.6681,0.76973,-0.59248,2.11667,GPCR_to_trainAgonistAntagonist_CCR4_HUMAN.csv
46.0,CCR5_HUMAN,AgonistAntagonist,20230518_1921,995.0,796.0,199.0,WeightedEnsemble_L2,-0.29293,0.38005,0.87275,0.40702,0.61648,-0.38005,6.63333,GPCR_to_trainAgonistAntagonist_CCR5_HUMAN.csv
47.0,CCR6_HUMAN,AgonistAntagonist,20230518_1928,438.0,350.0,88.0,WeightedEnsemble_L2,-0.02063,0.08122,0.41968,0.13129,0.28499,-0.08122,2.91667,GPCR_to_trainAgonistAntagonist_CCR6_HUMAN.csv
48.0,CCR8_HUMAN,AgonistAntagonist,20230518_1931,214.0,171.0,43.0,WeightedEnsemble_L2,-0.1033,0.02398,0.98784,0.10686,0.15486,-0.02398,1.41667,GPCR_to_trainAgonistAntagonist_CCR8_HUMAN.csv
49.0,CCR9_HUMAN,AgonistAntagonist,20230518_1933,510.0,408.0,102.0,WeightedEnsemble_L2,-0.17073,0.15062,0.88444,0.24535,0.3881,-0.15062,3.4,GPCR_to_trainAgonistAntagonist_CCR9_HUMAN.csv
50.0,CLTR1_HUMAN,AgonistAntagonist,20230518_1936,339.0,271.0,68.0,WeightedEnsemble_L2,-0.1406,0.13625,0.95449,0.219,0.36912,-0.13625,2.25,GPCR_to_trainAgonistAntagonist_CLTR1_HUMAN.csv
51.0,CLTR2_HUMAN,AgonistAntagonist,20230518_1939,172.0,137.0,35.0,WeightedEnsemble_L2,-0.13728,0.18506,0.96158,0.27812,0.43019,-0.18506,1.13333,GPCR_to_trainAgonistAntagonist_CLTR2_HUMAN.csv
52.0,CNR1_HUMAN,AgonistAntagonist,20230518_1940,2743.0,2194.0,549.0,WeightedEnsemble_L3,-0.1241,0.15033,0.95518,0.21556,0.38773,-0.15033,18.28333,GPCR_to_trainAgonistAntagonist_CNR1_HUMAN.csv
53.0,CNR2_HUMAN,AgonistAntagonist,20230518_1959,3661.0,2928.0,733.0,WeightedEnsemble_L3,-0.17768,0.21737,0.90591,0.25756,0.46623,-0.21737,24.4,GPCR_to_trainAgonistAntagonist_CNR2_HUMAN.csv
54.0,CRFR2_HUMAN,AgonistAntagonist,20230518_2024,64.0,51.0,13.0,WeightedEnsemble_L2,-0.25733,0.1178,0.97129,0.29026,0.34322,-0.1178,0.41667,GPCR_to_trainAgonistAntagonist_CRFR2_HUMAN.csv
55.0,CXCR1_HUMAN,AgonistAntagonist,20230518_2024,1.0,1.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_CXCR1_HUMAN.csv
56.0,CXCR2_HUMAN,AgonistAntagonist,20230518_2024,341.0,272.0,69.0,WeightedEnsemble_L2,-0.97048,0.67208,0.79159,0.64072,0.81981,-0.67208,2.26667,GPCR_to_trainAgonistAntagonist_CXCR2_HUMAN.csv
57.0,CXCR3_HUMAN,AgonistAntagonist,20230518_2027,839.0,671.0,168.0,WeightedEnsemble_L2,-0.1511,0.18307,0.88264,0.28968,0.42787,-0.18307,5.58333,GPCR_to_trainAgonistAntagonist_CXCR3_HUMAN.csv
58.0,CXCR4_HUMAN,AgonistAntagonist,20230518_2032,231.0,184.0,47.0,WeightedEnsemble_L2,-0.43959,0.42852,0.87657,0.49644,0.65461,-0.42852,1.53333,GPCR_to_trainAgonistAntagonist_CXCR4_HUMAN.csv
59.0,CXCR5_HUMAN,AgonistAntagonist,20230518_2034,154.0,123.0,31.0,WeightedEnsemble_L2,-0.17403,0.19941,0.93214,0.29605,0.44655,-0.19941,1.01667,GPCR_to_trainAgonistAntagonist_CXCR5_HUMAN.csv
60.0,DRD1_HUMAN,AgonistAntagonist,20230518_2035,313.0,250.0,63.0,WeightedEnsemble_L2,-0.17589,0.12166,0.87501,0.23103,0.3488,-0.12166,2.08333,GPCR_to_trainAgonistAntagonist_DRD1_HUMAN.csv
61.0,DRD2_HUMAN,AgonistAntagonist,20230518_2037,1565.0,1252.0,313.0,WeightedEnsemble_L3,-0.22592,0.21862,0.861,0.30551,0.46757,-0.21862,10.43333,GPCR_to_trainAgonistAntagonist_DRD2_HUMAN.csv
62.0,DRD3_HUMAN,AgonistAntagonist,20230518_2048,1310.0,1048.0,262.0,WeightedEnsemble_L2,-0.28625,0.36882,0.79103,0.37498,0.6073,-0.36882,8.73333,GPCR_to_trainAgonistAntagonist_DRD3_HUMAN.csv
63.0,DRD4_HUMAN,AgonistAntagonist,20230518_2057,201.0,160.0,41.0,WeightedEnsemble_L2,-0.24249,0.33073,0.566,0.39253,0.57509,-0.33073,1.33333,GPCR_to_trainAgonistAntagonist_DRD4_HUMAN.csv
64.0,DRD5_HUMAN,AgonistAntagonist,20230518_2059,4.0,4.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_DRD5_HUMAN.csv
65.0,EDNRA_HUMAN,AgonistAntagonist,20230518_2059,191.0,152.0,39.0,WeightedEnsemble_L2,-0.44969,0.29031,0.8571,0.36799,0.53881,-0.29031,1.26667,GPCR_to_trainAgonistAntagonist_EDNRA_HUMAN.csv
66.0,EDNRB_HUMAN,AgonistAntagonist,20230518_2100,116.0,92.0,24.0,WeightedEnsemble_L2,-0.29469,0.35405,0.74589,0.42912,0.59502,-0.35405,0.76667,GPCR_to_trainAgonistAntagonist_EDNRB_HUMAN.csv
67.0,FFAR1_HUMAN,AgonistAntagonist,20230518_2101,1895.0,1516.0,379.0,WeightedEnsemble_L3,-0.16116,0.24838,0.86534,0.28674,0.49838,-0.24838,12.63333,GPCR_to_trainAgonistAntagonist_FFAR1_HUMAN.csv
68.0,FFAR2_HUMAN,AgonistAntagonist,20230518_2114,287.0,229.0,58.0,WeightedEnsemble_L2,-0.10573,0.11928,0.93332,0.25254,0.34538,-0.11928,1.9,GPCR_to_trainAgonistAntagonist_FFAR2_HUMAN.csv
69.0,FFAR4_HUMAN,AgonistAntagonist,20230518_2116,187.0,149.0,38.0,WeightedEnsemble_L2,-0.14284,0.10882,0.91912,0.23307,0.32988,-0.10882,1.23333,GPCR_to_trainAgonistAntagonist_FFAR4_HUMAN.csv
70.0,FPR1_HUMAN,AgonistAntagonist,20230518_2117,355.0,284.0,71.0,WeightedEnsemble_L2,-0.26153,0.24358,0.88875,0.34996,0.49354,-0.24358,2.36667,GPCR_to_trainAgonistAntagonist_FPR1_HUMAN.csv
71.0,FPR2_HUMAN,AgonistAntagonist,20230518_2120,964.0,771.0,193.0,WeightedEnsemble_L3,-0.20065,0.18323,0.94124,0.27494,0.42806,-0.18323,6.41667,GPCR_to_trainAgonistAntagonist_FPR2_HUMAN.csv
72.0,FSHR_HUMAN,AgonistAntagonist,20230518_2127,53.0,42.0,11.0,WeightedEnsemble_L2,-1.17375,0.82663,,0.76341,0.90919,-0.82663,0.35,GPCR_to_trainAgonistAntagonist_FSHR_HUMAN.csv
73.0,GABR1_HUMAN,AgonistAntagonist,20230518_2127,8.0,8.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_GABR1_HUMAN.csv
74.0,GALR2_HUMAN,AgonistAntagonist,20230518_2127,40.0,32.0,8.0,WeightedEnsemble_L2,-0.14224,0.08317,,0.23625,0.28839,-0.08317,0.26667,GPCR_to_trainAgonistAntagonist_GALR2_HUMAN.csv
75.0,GALR3_HUMAN,AgonistAntagonist,20230518_2127,152.0,121.0,31.0,WeightedEnsemble_L2,-0.26648,0.25769,0.08978,0.40464,0.50764,-0.25769,1.0,GPCR_to_trainAgonistAntagonist_GALR3_HUMAN.csv
76.0,GASR_HUMAN,AgonistAntagonist,20230518_2129,47.0,37.0,10.0,WeightedEnsemble_L2,-1.20519,0.58609,,0.63121,0.76556,-0.58609,0.3,GPCR_to_trainAgonistAntagonist_GASR_HUMAN.csv
77.0,GHSR_HUMAN,AgonistAntagonist,20230518_2129,1494.0,1195.0,299.0,WeightedEnsemble_L2,-0.2578,0.2218,0.8797,0.2903,0.47096,-0.2218,9.95,GPCR_to_trainAgonistAntagonist_GHSR_HUMAN.csv
78.0,GIPR_HUMAN,AgonistAntagonist,20230518_2139,115.0,92.0,23.0,WeightedEnsemble_L2,-0.0631,0.02509,0.96616,0.12512,0.15839,-0.02509,0.76667,GPCR_to_trainAgonistAntagonist_GIPR_HUMAN.csv
79.0,GLP1R_HUMAN,AgonistAntagonist,20230518_2140,426.0,340.0,86.0,WeightedEnsemble_L2,-0.2151,0.25457,0.95288,0.34253,0.50455,-0.25457,2.83333,GPCR_to_trainAgonistAntagonist_GLP1R_HUMAN.csv
80.0,GLP2R_HUMAN,AgonistAntagonist,20230518_2143,158.0,126.0,32.0,WeightedEnsemble_L2,-0.14423,0.08086,0.88099,0.17442,0.28437,-0.08086,1.05,GPCR_to_trainAgonistAntagonist_GLP2R_HUMAN.csv
81.0,GLR_HUMAN,AgonistAntagonist,20230518_2144,797.0,637.0,160.0,WeightedEnsemble_L2,-0.11557,0.1479,0.94125,0.22763,0.38458,-0.1479,5.3,GPCR_to_trainAgonistAntagonist_GLR_HUMAN.csv
82.0,GNRHR_HUMAN,AgonistAntagonist,20230518_2150,707.0,565.0,142.0,WeightedEnsemble_L2,-0.30601,0.28022,0.90885,0.33859,0.52936,-0.28022,4.7,GPCR_to_trainAgonistAntagonist_GNRHR_HUMAN.csv
83.0,GP119_HUMAN,AgonistAntagonist,20230518_2155,1455.0,1164.0,291.0,WeightedEnsemble_L2,-0.21608,0.18643,0.87062,0.2763,0.43177,-0.18643,9.7,GPCR_to_trainAgonistAntagonist_GP119_HUMAN.csv
84.0,GP139_HUMAN,AgonistAntagonist,20230518_2205,50.0,40.0,10.0,WeightedEnsemble_L2,-0.50376,0.38291,,0.53652,0.6188,-0.38291,0.33333,GPCR_to_trainAgonistAntagonist_GP139_HUMAN.csv
85.0,GP142_HUMAN,AgonistAntagonist,20230518_2206,150.0,120.0,30.0,WeightedEnsemble_L2,-0.37439,0.86284,0.69928,0.69221,0.92889,-0.86284,1.0,GPCR_to_trainAgonistAntagonist_GP142_HUMAN.csv
86.0,GP174_HUMAN,AgonistAntagonist,20230518_2207,81.0,64.0,17.0,WeightedEnsemble_L2,-0.01232,0.07132,0.93717,0.15003,0.26706,-0.07132,0.53333,GPCR_to_trainAgonistAntagonist_GP174_HUMAN.csv
87.0,GP183_HUMAN,AgonistAntagonist,20230518_2208,85.0,68.0,17.0,WeightedEnsemble_L2,-0.26398,0.1802,0.82426,0.26986,0.4245,-0.1802,0.56667,GPCR_to_trainAgonistAntagonist_GP183_HUMAN.csv
88.0,GPBAR_HUMAN,AgonistAntagonist,20230518_2208,847.0,677.0,170.0,WeightedEnsemble_L2,-0.48144,0.37528,0.8472,0.47909,0.6126,-0.37528,5.63333,GPCR_to_trainAgonistAntagonist_GPBAR_HUMAN.csv
89.0,GPER1_HUMAN,AgonistAntagonist,20230518_2214,10.0,8.0,2.0,WeightedEnsemble_L2,-2.02314,1.16594,,0.98307,1.07979,-1.16594,0.1,GPCR_to_trainAgonistAntagonist_GPER1_HUMAN.csv
90.0,GPR17_HUMAN,AgonistAntagonist,20230518_2215,24.0,19.0,5.0,WeightedEnsemble_L2,-1.0806,1.03351,,0.90648,1.01662,-1.03351,0.15,GPCR_to_trainAgonistAntagonist_GPR17_HUMAN.csv
91.0,GPR18_HUMAN,AgonistAntagonist,20230518_2215,25.0,20.0,5.0,WeightedEnsemble_L2,-0.21304,0.02945,,0.14581,0.1716,-0.02945,0.16667,GPCR_to_trainAgonistAntagonist_GPR18_HUMAN.csv
92.0,GPR34_HUMAN,AgonistAntagonist,20230518_2215,49.0,39.0,10.0,WeightedEnsemble_L2,-0.01785,0.00822,0.98159,0.0632,0.09067,-0.00822,0.31667,GPCR_to_trainAgonistAntagonist_GPR34_HUMAN.csv
93.0,GPR35_HUMAN,AgonistAntagonist,20230518_2215,705.0,564.0,141.0,WeightedEnsemble_L2,-0.38147,0.50823,0.65156,0.51052,0.7129,-0.50823,4.7,GPCR_to_trainAgonistAntagonist_GPR35_HUMAN.csv
94.0,GPR39_HUMAN,AgonistAntagonist,20230518_2221,65.0,52.0,13.0,WeightedEnsemble_L2,-0.4991,0.11442,0.97797,0.27937,0.33826,-0.11442,0.43333,GPCR_to_trainAgonistAntagonist_GPR39_HUMAN.csv
95.0,GPR4_HUMAN,AgonistAntagonist,20230518_2221,13.0,10.0,3.0,WeightedEnsemble_L2,-0.35803,0.09661,,0.28577,0.31081,-0.09661,0.08333,GPCR_to_trainAgonistAntagonist_GPR4_HUMAN.csv
96.0,GPR52_HUMAN,AgonistAntagonist,20230518_2222,30.0,24.0,6.0,WeightedEnsemble_L2,-0.18766,0.34488,,0.4816,0.58727,-0.34488,0.2,GPCR_to_trainAgonistAntagonist_GPR52_HUMAN.csv
97.0,GPR55_HUMAN,AgonistAntagonist,20230518_2222,1189.0,951.0,238.0,WeightedEnsemble_L3,-0.04635,0.04181,0.96529,0.11501,0.20447,-0.04181,7.91667,GPCR_to_trainAgonistAntagonist_GPR55_HUMAN.csv
98.0,GPR6_HUMAN,AgonistAntagonist,20230518_2230,204.0,163.0,41.0,WeightedEnsemble_L2,-0.12994,0.06351,0.94246,0.19357,0.25202,-0.06351,1.35,GPCR_to_trainAgonistAntagonist_GPR6_HUMAN.csv
99.0,GPR84_HUMAN,AgonistAntagonist,20230518_2231,891.0,712.0,179.0,WeightedEnsemble_L2,-0.02603,0.00932,0.99648,0.03892,0.09654,-0.00932,5.93333,GPCR_to_trainAgonistAntagonist_GPR84_HUMAN.csv
100.0,GPR88_HUMAN,AgonistAntagonist,20230518_2238,253.0,202.0,51.0,WeightedEnsemble_L2,-0.51171,0.25546,0.88209,0.35276,0.50544,-0.25546,1.68333,GPCR_to_trainAgonistAntagonist_GPR88_HUMAN.csv
101.0,GRM1_HUMAN,AgonistAntagonist,20230518_2240,905.0,724.0,181.0,WeightedEnsemble_L2,-0.1477,0.1279,0.9471,0.25246,0.35763,-0.1279,6.03333,GPCR_to_trainAgonistAntagonist_GRM1_HUMAN.csv
102.0,GRM2_HUMAN,AgonistAntagonist,20230518_2246,391.0,312.0,79.0,WeightedEnsemble_L2,-0.32861,0.20519,0.94327,0.33669,0.45298,-0.20519,2.6,GPCR_to_trainAgonistAntagonist_GRM2_HUMAN.csv
103.0,GRM3_HUMAN,AgonistAntagonist,20230518_2248,148.0,118.0,30.0,WeightedEnsemble_L2,-0.49548,0.46247,0.71542,0.52945,0.68005,-0.46247,0.98333,GPCR_to_trainAgonistAntagonist_GRM3_HUMAN.csv
104.0,GRM4_HUMAN,AgonistAntagonist,20230518_2250,60.0,48.0,12.0,WeightedEnsemble_L2,-0.29502,0.41954,,0.51793,0.64772,-0.41954,0.4,GPCR_to_trainAgonistAntagonist_GRM4_HUMAN.csv
105.0,GRM5_HUMAN,AgonistAntagonist,20230518_2250,1433.0,1146.0,287.0,WeightedEnsemble_L2,-0.25301,0.20746,0.91205,0.3243,0.45547,-0.20746,9.55,GPCR_to_trainAgonistAntagonist_GRM5_HUMAN.csv
106.0,GRM6_HUMAN,AgonistAntagonist,20230518_2301,75.0,60.0,15.0,WeightedEnsemble_L2,-0.2056,0.45368,0.12159,0.5545,0.67356,-0.45368,0.5,GPCR_to_trainAgonistAntagonist_GRM6_HUMAN.csv
107.0,GRM7_HUMAN,AgonistAntagonist,20230518_2301,15.0,12.0,3.0,WeightedEnsemble_L2,-0.28677,0.64864,,0.69843,0.80538,-0.64864,0.11667,GPCR_to_trainAgonistAntagonist_GRM7_HUMAN.csv
108.0,GRM8_HUMAN,AgonistAntagonist,20230518_2302,47.0,37.0,10.0,WeightedEnsemble_L2,-0.55532,0.8832,,0.77119,0.93979,-0.8832,0.3,GPCR_to_trainAgonistAntagonist_GRM8_HUMAN.csv
109.0,GRPR_HUMAN,AgonistAntagonist,20230518_2302,4.0,4.0,,skip,,,,,,,,GPCR_to_trainAgonistAntagonist_GRPR_HUMAN.csv
