trainnum,Name,trainname,Time,ALL_size,TRAIN_size,TEST_size,BEST_model,score_val,mean_squared_error,pearsonr,mean_absolute_error,root_mean_squared_error,score_test,traintimelimit_mins,File_Name
25.0,ADA2B_HUMAN,Agonist,20230518_1712,146.0,116.0,30.0,WeightedEnsemble_L2,-0.23934,0.17996,0.83349,0.29222,0.42421,-0.17996,0.96667,GPCR_to_trainAgonist_ADA2B_HUMAN.csv
26.0,ADA2C_HUMAN,Agonist,20230518_1713,244.0,195.0,49.0,WeightedEnsemble_L2,-0.38007,0.28562,0.88644,0.39174,0.53444,-0.28562,1.61667,GPCR_to_trainAgonist_ADA2C_HUMAN.csv
27.0,ADRB1_HUMAN,Agonist,20230518_1715,779.0,623.0,156.0,WeightedEnsemble_L2,-0.16819,0.23721,0.86877,0.28618,0.48705,-0.23721,5.18333,GPCR_to_trainAgonist_ADRB1_HUMAN.csv
28.0,ADRB2_HUMAN,Agonist,20230518_1721,1397.0,1117.0,280.0,WeightedEnsemble_L3,-0.20606,0.2602,0.93339,0.33505,0.5101,-0.2602,9.3,GPCR_to_trainAgonist_ADRB2_HUMAN.csv
29.0,ADRB3_HUMAN,Agonist,20230518_1730,1476.0,1180.0,296.0,WeightedEnsemble_L3,-0.20106,0.20515,0.897,0.25708,0.45294,-0.20515,9.83333,GPCR_to_trainAgonist_ADRB3_HUMAN.csv
30.0,AGTR1_HUMAN,Agonist,20230518_1741,9.0,7.0,2.0,WeightedEnsemble_L2,-4.56958,4.87793,,2.0207,2.2086,-4.87793,0.11667,GPCR_to_trainAgonist_AGTR1_HUMAN.csv
31.0,APJ_HUMAN,Agonist,20230518_1742,221.0,176.0,45.0,WeightedEnsemble_L2,-0.61172,0.6011,0.79531,0.66212,0.7753,-0.6011,1.46667,GPCR_to_trainAgonist_APJ_HUMAN.csv
32.0,BRS3_HUMAN,Agonist,20230518_1743,517.0,413.0,104.0,WeightedEnsemble_L2,-0.21374,0.09973,0.95234,0.20004,0.3158,-0.09973,3.43333,GPCR_to_trainAgonist_BRS3_HUMAN.csv
33.0,C3AR_HUMAN,Agonist,20230518_1747,229.0,183.0,46.0,WeightedEnsemble_L2,-0.12795,0.1441,0.88706,0.22662,0.37961,-0.1441,1.51667,GPCR_to_trainAgonist_C3AR_HUMAN.csv
34.0,CALRL_HUMAN,Agonist,20230518_1748,2.0,2.0,,skip,,,,,,,,GPCR_to_trainAgonist_CALRL_HUMAN.csv
35.0,CCKAR_HUMAN,Agonist,20230518_1748,262.0,209.0,53.0,WeightedEnsemble_L2,-0.31606,0.31454,0.92606,0.37007,0.56084,-0.31454,1.73333,GPCR_to_trainAgonist_CCKAR_HUMAN.csv
36.0,CCR1_HUMAN,Agonist,20230518_1750,2.0,2.0,,skip,,,,,,,,GPCR_to_trainAgonist_CCR1_HUMAN.csv
37.0,CCR3_HUMAN,Agonist,20230518_1750,4.0,4.0,,skip,,,,,,,,GPCR_to_trainAgonist_CCR3_HUMAN.csv
38.0,CCR4_HUMAN,Agonist,20230518_1750,3.0,3.0,,skip,,,,,,,,GPCR_to_trainAgonist_CCR4_HUMAN.csv
39.0,CCR5_HUMAN,Agonist,20230518_1750,18.0,14.0,4.0,WeightedEnsemble_L2,-1.58564,1.72984,,1.07827,1.31523,-1.72984,0.11667,GPCR_to_trainAgonist_CCR5_HUMAN.csv
40.0,CNR1_HUMAN,Agonist,20230518_1750,1408.0,1126.0,282.0,WeightedEnsemble_L3,-0.14832,0.13641,0.95367,0.23817,0.36934,-0.13641,9.38333,GPCR_to_trainAgonist_CNR1_HUMAN.csv
41.0,CNR2_HUMAN,Agonist,20230518_1800,3411.0,2728.0,683.0,WeightedEnsemble_L3,-0.1924,0.2106,0.89604,0.2556,0.45891,-0.2106,22.73333,GPCR_to_trainAgonist_CNR2_HUMAN.csv
42.0,CRFR2_HUMAN,Agonist,20230518_1823,29.0,23.0,6.0,WeightedEnsemble_L2,-0.43712,0.91023,,0.80287,0.95406,-0.91023,0.18333,GPCR_to_trainAgonist_CRFR2_HUMAN.csv
43.0,CXCR3_HUMAN,Agonist,20230518_1824,1.0,1.0,,skip,,,,,,,,GPCR_to_trainAgonist_CXCR3_HUMAN.csv
44.0,DRD1_HUMAN,Agonist,20230518_1824,286.0,228.0,58.0,WeightedEnsemble_L2,-0.16117,0.10812,0.87169,0.18885,0.32881,-0.10812,1.9,GPCR_to_trainAgonist_DRD1_HUMAN.csv
45.0,DRD2_HUMAN,Agonist,20230518_1826,568.0,454.0,114.0,WeightedEnsemble_L2,-0.45969,0.38972,0.77665,0.40617,0.62427,-0.38972,3.78333,GPCR_to_trainAgonist_DRD2_HUMAN.csv
46.0,DRD3_HUMAN,Agonist,20230518_1829,271.0,216.0,55.0,WeightedEnsemble_L2,-0.28073,0.13418,0.91394,0.29402,0.36631,-0.13418,1.8,GPCR_to_trainAgonist_DRD3_HUMAN.csv
47.0,DRD4_HUMAN,Agonist,20230518_1831,156.0,124.0,32.0,WeightedEnsemble_L2,-0.21889,0.20167,0.89356,0.286,0.44908,-0.20167,1.03333,GPCR_to_trainAgonist_DRD4_HUMAN.csv
48.0,FFAR1_HUMAN,Agonist,20230518_1833,1778.0,1422.0,356.0,WeightedEnsemble_L3,-0.17736,0.30876,0.82638,0.33772,0.55566,-0.30876,11.85,GPCR_to_trainAgonist_FFAR1_HUMAN.csv
49.0,FFAR2_HUMAN,Agonist,20230518_1845,137.0,109.0,28.0,WeightedEnsemble_L2,-0.26751,0.24214,0.81011,0.42471,0.49207,-0.24214,0.9,GPCR_to_trainAgonist_FFAR2_HUMAN.csv
50.0,FFAR4_HUMAN,Agonist,20230518_1846,187.0,149.0,38.0,WeightedEnsemble_L2,-0.11812,0.13627,0.85962,0.24473,0.36915,-0.13627,1.23333,GPCR_to_trainAgonist_FFAR4_HUMAN.csv
51.0,FPR1_HUMAN,Agonist,20230518_1847,116.0,92.0,24.0,WeightedEnsemble_L2,-0.18435,0.18729,0.89685,0.26717,0.43277,-0.18729,0.76667,GPCR_to_trainAgonist_FPR1_HUMAN.csv
52.0,FPR2_HUMAN,Agonist,20230518_1848,953.0,762.0,191.0,WeightedEnsemble_L2,-0.20682,0.14833,0.94504,0.22426,0.38513,-0.14833,6.35,GPCR_to_trainAgonist_FPR2_HUMAN.csv
53.0,FSHR_HUMAN,Agonist,20230518_1855,53.0,42.0,11.0,WeightedEnsemble_L2,-1.13473,1.15219,,1.01645,1.0734,-1.15219,0.35,GPCR_to_trainAgonist_FSHR_HUMAN.csv
54.0,GABR1_HUMAN,Agonist,20230518_1855,8.0,8.0,,skip,,,,,,,,GPCR_to_trainAgonist_GABR1_HUMAN.csv
55.0,GALR2_HUMAN,Agonist,20230518_1855,2.0,2.0,,skip,,,,,,,,GPCR_to_trainAgonist_GALR2_HUMAN.csv
56.0,GASR_HUMAN,Agonist,20230518_1855,7.0,7.0,,skip,,,,,,,,GPCR_to_trainAgonist_GASR_HUMAN.csv
57.0,GHSR_HUMAN,Agonist,20230518_1855,1056.0,844.0,212.0,WeightedEnsemble_L3,-0.19923,0.27626,0.83191,0.30929,0.52561,-0.27626,7.03333,GPCR_to_trainAgonist_GHSR_HUMAN.csv
58.0,GLP1R_HUMAN,Agonist,20230518_1903,327.0,261.0,66.0,WeightedEnsemble_L2,-0.21778,0.22025,0.95635,0.3141,0.46931,-0.22025,2.16667,GPCR_to_trainAgonist_GLP1R_HUMAN.csv
59.0,GLP2R_HUMAN,Agonist,20230518_1905,145.0,116.0,29.0,WeightedEnsemble_L2,-0.14034,0.12812,0.7682,0.24668,0.35794,-0.12812,0.96667,GPCR_to_trainAgonist_GLP2R_HUMAN.csv
60.0,GLR_HUMAN,Agonist,20230518_1906,50.0,40.0,10.0,WeightedEnsemble_L2,-0.37381,0.67211,,0.51832,0.81982,-0.67211,0.33333,GPCR_to_trainAgonist_GLR_HUMAN.csv
61.0,GNRHR_HUMAN,Agonist,20230518_1907,48.0,38.0,10.0,WeightedEnsemble_L2,-1.65167,1.61771,,0.89876,1.27189,-1.61771,0.31667,GPCR_to_trainAgonist_GNRHR_HUMAN.csv
62.0,GP119_HUMAN,Agonist,20230518_1907,1455.0,1164.0,291.0,WeightedEnsemble_L3,-0.18688,0.21578,0.85408,0.2714,0.46453,-0.21578,9.7,GPCR_to_trainAgonist_GP119_HUMAN.csv
63.0,GP139_HUMAN,Agonist,20230518_1917,50.0,40.0,10.0,WeightedEnsemble_L2,-0.30238,0.04082,0.86082,0.16782,0.20203,-0.04082,0.33333,GPCR_to_trainAgonist_GP139_HUMAN.csv
64.0,GP142_HUMAN,Agonist,20230518_1917,150.0,120.0,30.0,WeightedEnsemble_L2,-0.41066,0.54991,0.58701,0.52161,0.74156,-0.54991,1.0,GPCR_to_trainAgonist_GP142_HUMAN.csv
65.0,GP174_HUMAN,Agonist,20230518_1919,81.0,64.0,17.0,WeightedEnsemble_L2,-0.02618,0.01352,0.99466,0.08318,0.11627,-0.01352,0.53333,GPCR_to_trainAgonist_GP174_HUMAN.csv
66.0,GPBAR_HUMAN,Agonist,20230518_1919,847.0,677.0,170.0,WeightedEnsemble_L2,-0.37904,0.37895,0.87085,0.45646,0.61559,-0.37895,5.63333,GPCR_to_trainAgonist_GPBAR_HUMAN.csv
67.0,GPER1_HUMAN,Agonist,20230518_1925,7.0,7.0,,skip,,,,,,,,GPCR_to_trainAgonist_GPER1_HUMAN.csv
68.0,GPR17_HUMAN,Agonist,20230518_1925,19.0,15.0,4.0,WeightedEnsemble_L2,-1.39542,1.31013,,0.82427,1.14461,-1.31013,0.11667,GPCR_to_trainAgonist_GPR17_HUMAN.csv
69.0,GPR18_HUMAN,Agonist,20230518_1925,6.0,6.0,,skip,,,,,,,,GPCR_to_trainAgonist_GPR18_HUMAN.csv
70.0,GPR34_HUMAN,Agonist,20230518_1925,49.0,39.0,10.0,WeightedEnsemble_L2,-0.03463,0.01917,0.96277,0.08598,0.13846,-0.01917,0.31667,GPCR_to_trainAgonist_GPR34_HUMAN.csv
71.0,GPR35_HUMAN,Agonist,20230518_1926,446.0,356.0,90.0,WeightedEnsemble_L2,-0.52698,0.57581,0.69666,0.59082,0.75882,-0.57581,2.96667,GPCR_to_trainAgonist_GPR35_HUMAN.csv
72.0,GPR39_HUMAN,Agonist,20230518_1929,65.0,52.0,13.0,WeightedEnsemble_L2,-0.54026,0.3493,0.96535,0.42286,0.59102,-0.3493,0.43333,GPCR_to_trainAgonist_GPR39_HUMAN.csv
73.0,GPR52_HUMAN,Agonist,20230518_1930,30.0,24.0,6.0,WeightedEnsemble_L2,-0.19381,0.34025,,0.4715,0.58331,-0.34025,0.2,GPCR_to_trainAgonist_GPR52_HUMAN.csv
74.0,GPR55_HUMAN,Agonist,20230518_1930,409.0,327.0,82.0,WeightedEnsemble_L2,-0.14216,0.15735,0.91904,0.22892,0.39668,-0.15735,2.71667,GPCR_to_trainAgonist_GPR55_HUMAN.csv
75.0,GPR6_HUMAN,Agonist,20230518_1933,204.0,163.0,41.0,WeightedEnsemble_L2,-0.16516,0.07173,0.96176,0.21746,0.26782,-0.07173,1.35,GPCR_to_trainAgonist_GPR6_HUMAN.csv
76.0,GPR84_HUMAN,Agonist,20230518_1934,79.0,63.0,16.0,WeightedEnsemble_L2,-0.56448,0.51967,0.94283,0.4981,0.72088,-0.51967,0.51667,GPCR_to_trainAgonist_GPR84_HUMAN.csv
77.0,GPR88_HUMAN,Agonist,20230518_1935,253.0,202.0,51.0,WeightedEnsemble_L2,-0.27819,0.25117,0.89662,0.34613,0.50117,-0.25117,1.68333,GPCR_to_trainAgonist_GPR88_HUMAN.csv
78.0,GRM1_HUMAN,Agonist,20230518_1937,21.0,16.0,5.0,WeightedEnsemble_L2,-0.62549,0.00775,,0.07174,0.08804,-0.00775,0.13333,GPCR_to_trainAgonist_GRM1_HUMAN.csv
79.0,GRM2_HUMAN,Agonist,20230518_1937,331.0,264.0,67.0,WeightedEnsemble_L2,-0.20169,0.17438,0.93408,0.24832,0.41758,-0.17438,2.2,GPCR_to_trainAgonist_GRM2_HUMAN.csv
80.0,GRM3_HUMAN,Agonist,20230518_1939,83.0,66.0,17.0,WeightedEnsemble_L2,-0.53468,0.621,0.8839,0.60079,0.78803,-0.621,0.55,GPCR_to_trainAgonist_GRM3_HUMAN.csv
81.0,GRM4_HUMAN,Agonist,20230518_1940,43.0,34.0,9.0,WeightedEnsemble_L2,-0.20664,0.29491,0.00089,0.44583,0.54305,-0.29491,0.28333,GPCR_to_trainAgonist_GRM4_HUMAN.csv
82.0,GRM5_HUMAN,Agonist,20230518_1940,214.0,171.0,43.0,WeightedEnsemble_L2,-0.21415,0.23525,0.88862,0.31758,0.48503,-0.23525,1.41667,GPCR_to_trainAgonist_GRM5_HUMAN.csv
83.0,GRM6_HUMAN,Agonist,20230518_1942,33.0,26.0,7.0,WeightedEnsemble_L2,-0.26964,0.42788,,0.52549,0.65413,-0.42788,0.21667,GPCR_to_trainAgonist_GRM6_HUMAN.csv
84.0,GRM7_HUMAN,Agonist,20230518_1942,5.0,5.0,,skip,,,,,,,,GPCR_to_trainAgonist_GRM7_HUMAN.csv
85.0,GRM8_HUMAN,Agonist,20230518_1942,37.0,29.0,8.0,WeightedEnsemble_L2,-0.46855,1.18328,,0.82876,1.08779,-1.18328,0.23333,GPCR_to_trainAgonist_GRM8_HUMAN.csv
86.0,GRPR_HUMAN,Agonist,20230518_1942,2.0,2.0,,skip,,,,,,,,GPCR_to_trainAgonist_GRPR_HUMAN.csv
87.0,HCAR1_HUMAN,Agonist,20230518_1942,574.0,459.0,115.0,WeightedEnsemble_L2,-0.41929,0.45282,0.34536,0.64729,0.67292,-0.45282,3.81667,GPCR_to_trainAgonist_HCAR1_HUMAN.csv
88.0,HCAR2_HUMAN,Agonist,20230518_1946,807.0,645.0,162.0,WeightedEnsemble_L2,-0.14962,0.23645,0.86804,0.32277,0.48626,-0.23645,5.36667,GPCR_to_trainAgonist_HCAR2_HUMAN.csv
89.0,HCAR3_HUMAN,Agonist,20230518_1952,182.0,145.0,37.0,WeightedEnsemble_L2,-0.13021,0.12386,0.87262,0.233,0.35194,-0.12386,1.2,GPCR_to_trainAgonist_HCAR3_HUMAN.csv
90.0,HRH1_HUMAN,Agonist,20230518_1953,19.0,15.0,4.0,WeightedEnsemble_L2,-1.41697,0.51283,,0.61693,0.71612,-0.51283,0.11667,GPCR_to_trainAgonist_HRH1_HUMAN.csv
91.0,HRH2_HUMAN,Agonist,20230518_1953,102.0,81.0,21.0,WeightedEnsemble_L2,-0.13862,0.17319,0.86498,0.29345,0.41616,-0.17319,0.66667,GPCR_to_trainAgonist_HRH2_HUMAN.csv
92.0,HRH3_HUMAN,Agonist,20230518_1954,599.0,479.0,120.0,WeightedEnsemble_L2,-0.20789,0.18295,0.93225,0.31461,0.42772,-0.18295,3.98333,GPCR_to_trainAgonist_HRH3_HUMAN.csv
93.0,HRH4_HUMAN,Agonist,20230518_1958,346.0,276.0,70.0,WeightedEnsemble_L2,-0.27334,0.22997,0.8631,0.32442,0.47955,-0.22997,2.3,GPCR_to_trainAgonist_HRH4_HUMAN.csv
94.0,KISSR_HUMAN,Agonist,20230518_2000,210.0,168.0,42.0,WeightedEnsemble_L2,-0.23714,0.19517,0.73097,0.3048,0.44178,-0.19517,1.4,GPCR_to_trainAgonist_KISSR_HUMAN.csv
95.0,LPAR1_HUMAN,Agonist,20230518_2002,80.0,64.0,16.0,WeightedEnsemble_L2,-0.17876,0.30398,0.71899,0.35342,0.55135,-0.30398,0.53333,GPCR_to_trainAgonist_LPAR1_HUMAN.csv
96.0,LPAR2_HUMAN,Agonist,20230518_2003,68.0,54.0,14.0,WeightedEnsemble_L2,-0.17424,0.1666,0.98468,0.32298,0.40816,-0.1666,0.45,GPCR_to_trainAgonist_LPAR2_HUMAN.csv
97.0,LPAR3_HUMAN,Agonist,20230518_2003,33.0,26.0,7.0,WeightedEnsemble_L2,-2.08293,1.47355,,0.8337,1.2139,-1.47355,0.21667,GPCR_to_trainAgonist_LPAR3_HUMAN.csv
98.0,LPAR4_HUMAN,Agonist,20230518_2003,16.0,12.0,4.0,WeightedEnsemble_L2,-0.01949,0.88975,,0.75524,0.94327,-0.88975,0.1,GPCR_to_trainAgonist_LPAR4_HUMAN.csv
99.0,LPAR5_HUMAN,Agonist,20230518_2003,12.0,9.0,3.0,WeightedEnsemble_L2,-0.7546,0.76137,,0.69821,0.87257,-0.76137,0.06667,GPCR_to_trainAgonist_LPAR5_HUMAN.csv
100.0,LPAR6_HUMAN,Agonist,20230518_2004,8.0,8.0,,skip,,,,,,,,GPCR_to_trainAgonist_LPAR6_HUMAN.csv
101.0,LSHR_HUMAN,Agonist,20230518_2004,59.0,47.0,12.0,WeightedEnsemble_L2,-0.03912,0.61448,0.66094,0.43176,0.78388,-0.61448,0.38333,GPCR_to_trainAgonist_LSHR_HUMAN.csv
102.0,MC3R_HUMAN,Agonist,20230518_2004,415.0,332.0,83.0,WeightedEnsemble_L2,-0.43146,0.46104,0.83101,0.51149,0.679,-0.46104,2.76667,GPCR_to_trainAgonist_MC3R_HUMAN.csv
103.0,MC4R_HUMAN,Agonist,20230518_2007,1511.0,1208.0,303.0,WeightedEnsemble_L3,-0.26717,0.41326,0.84568,0.41291,0.64285,-0.41326,10.06667,GPCR_to_trainAgonist_MC4R_HUMAN.csv
104.0,MC5R_HUMAN,Agonist,20230518_2017,144.0,115.0,29.0,WeightedEnsemble_L2,-0.54954,0.82098,0.84162,0.65508,0.90608,-0.82098,0.95,GPCR_to_trainAgonist_MC5R_HUMAN.csv
105.0,MCHR1_HUMAN,Agonist,20230518_2018,2.0,2.0,,skip,,,,,,,,GPCR_to_trainAgonist_MCHR1_HUMAN.csv
106.0,MRGX1_HUMAN,Agonist,20230518_2018,76.0,60.0,16.0,WeightedEnsemble_L2,-0.46236,0.33389,0.88129,0.44731,0.57783,-0.33389,0.5,GPCR_to_trainAgonist_MRGX1_HUMAN.csv
107.0,MRGX2_HUMAN,Agonist,20230518_2019,14.0,11.0,3.0,WeightedEnsemble_L2,-0.15317,0.0096,,0.08473,0.09799,-0.0096,0.1,GPCR_to_trainAgonist_MRGX2_HUMAN.csv
108.0,MSHR_HUMAN,Agonist,20230518_2019,609.0,487.0,122.0,WeightedEnsemble_L2,-0.45252,0.24318,0.92846,0.34216,0.49313,-0.24318,4.05,GPCR_to_trainAgonist_MSHR_HUMAN.csv
109.0,MTLR_HUMAN,Agonist,20230518_2024,284.0,227.0,57.0,WeightedEnsemble_L2,-0.20606,0.22656,0.89642,0.33753,0.47598,-0.22656,1.88333,GPCR_to_trainAgonist_MTLR_HUMAN.csv
110.0,MTR1A_HUMAN,Agonist,20230518_2026,108.0,86.0,22.0,WeightedEnsemble_L2,-0.43245,0.24404,0.87764,0.3664,0.49401,-0.24404,0.71667,GPCR_to_trainAgonist_MTR1A_HUMAN.csv
111.0,MTR1B_HUMAN,Agonist,20230518_2027,137.0,109.0,28.0,WeightedEnsemble_L2,-0.32429,0.17474,0.96943,0.33491,0.41801,-0.17474,0.9,GPCR_to_trainAgonist_MTR1B_HUMAN.csv
112.0,NK1R_HUMAN,Agonist,20230518_2028,5.0,5.0,,skip,,,,,,,,GPCR_to_trainAgonist_NK1R_HUMAN.csv
113.0,NK3R_HUMAN,Agonist,20230518_2028,58.0,46.0,12.0,WeightedEnsemble_L2,-2.42051,2.03627,,1.34996,1.42698,-2.03627,0.38333,GPCR_to_trainAgonist_NK3R_HUMAN.csv
114.0,NMBR_HUMAN,Agonist,20230518_2028,4.0,4.0,,skip,,,,,,,,GPCR_to_trainAgonist_NMBR_HUMAN.csv
115.0,NMUR1_HUMAN,Agonist,20230518_2028,42.0,33.0,9.0,WeightedEnsemble_L2,-2.75091,1.97311,,1.1821,1.40467,-1.97311,0.26667,GPCR_to_trainAgonist_NMUR1_HUMAN.csv
116.0,NMUR2_HUMAN,Agonist,20230518_2028,58.0,46.0,12.0,WeightedEnsemble_L2,-3.32027,2.08904,,1.30631,1.44535,-2.08904,0.38333,GPCR_to_trainAgonist_NMUR2_HUMAN.csv
117.0,NPFF1_HUMAN,Agonist,20230518_2029,22.0,17.0,5.0,WeightedEnsemble_L2,-0.50543,0.14453,,0.28962,0.38017,-0.14453,0.13333,GPCR_to_trainAgonist_NPFF1_HUMAN.csv
118.0,NPFF2_HUMAN,Agonist,20230518_2029,37.0,29.0,8.0,WeightedEnsemble_L2,-0.45223,0.82463,,0.65041,0.90809,-0.82463,0.23333,GPCR_to_trainAgonist_NPFF2_HUMAN.csv
119.0,NPSR1_HUMAN,Agonist,20230518_2029,4.0,4.0,,skip,,,,,,,,GPCR_to_trainAgonist_NPSR1_HUMAN.csv
120.0,NPY1R_HUMAN,Agonist,20230518_2029,109.0,87.0,22.0,WeightedEnsemble_L2,-0.18244,0.03655,0.80757,0.15864,0.19117,-0.03655,0.71667,GPCR_to_trainAgonist_NPY1R_HUMAN.csv
121.0,NPY2R_HUMAN,Agonist,20230518_2030,171.0,136.0,35.0,WeightedEnsemble_L2,-0.22459,0.22063,0.9652,0.29847,0.46972,-0.22063,1.13333,GPCR_to_trainAgonist_NPY2R_HUMAN.csv
122.0,NPY4R_HUMAN,Agonist,20230518_2032,41.0,32.0,9.0,WeightedEnsemble_L2,-0.70418,0.37707,,0.55574,0.61406,-0.37707,0.26667,GPCR_to_trainAgonist_NPY4R_HUMAN.csv
123.0,NPY5R_HUMAN,Agonist,20230518_2032,8.0,8.0,,skip,,,,,,,,GPCR_to_trainAgonist_NPY5R_HUMAN.csv
124.0,NTR1_HUMAN,Agonist,20230518_2032,452.0,361.0,91.0,WeightedEnsemble_L2,-0.11067,0.10486,0.95396,0.18348,0.32382,-0.10486,3.0,GPCR_to_trainAgonist_NTR1_HUMAN.csv
